Name,Measure,MeasureInfo,season,year,BayRidge-And-DykerHeights,Bayside-LittleNeck,BaysideLittleNeck-FreshMeadows,BedfordStuyvesant-CrownHeights,Belmont-And-EastTremont,Bensonhurst-BayRidge,BoroughPark,Bronx,Brooklyn,Brownsville,Bushwick,CentralHarlem,Chelsea-Clinton,Chelsea-Village,Clinton-And-Chelsea,Coneyisl-And-,Crotona-Tremont,Downtown-Heights-Slope,EastFlatbush,EastHarlem,EastNewYork,Elmhurst-And-Corona,FinancialDistrict,Flatbush-And-Midwood,Flatl-And-s-And-Canarsie,Flushing-Clearview,Flushing-And-Whitestone,Fordham-BronxPk,Fordham-And-UniversityHeights,FortGreene-And-BrooklynHeights,FreshMeadows,GramercyPark-MurrayHill,Greenpoint,Greenpoint-And-Williamsburg,GreenwichVillage-And-Soho,HighBridge-Morrisania,Highbridge-And-Concourse,Hillcrest-And-FreshMeadows,HuntsPoint-MottHaven,HuntsPoint-And-Longwood,JacksonHeights,Jamaica,Jamaica-And-Hollis,KewGardens-And-Woodhaven,Kingsbridge-Riverdale,KingsbridgeHeights-And-Bedford,Longisl-And-City-Astoria,Longisl-And-City-And-Astoria,LowerEastSide-And-Chinatown,LowerManhattan,Manhattan,Midtown,MorningsideHeights-And-HamiltonHeights,MorrisPark-And-Bronxdale,Morrisania-And-Crotona,MottHaven-And-Melrose-And-,NewYorkCity,NortheastBronx,NorthernSI,ParkSlope-And-CarrollGardens,Parkchester-And-Soundview,Pelham-ThrogsNeck,PortRichmond,Queens,QueensVillage,RegoPark-And-ForestHills,Ridgewood-ForestHills,Ridgewood-And-Maspeth,Riverdale-And-Fieldston,Rockaway-And-BroadChannel-And-,Rockaways,SheepsheadBay-And-,SouthBeach-Tottenville,SouthBeach-And-Willowbrook-And-,SouthBronx,SouthCrownHeights-And-LeffertsGardens,SouthOzonePark-And-HowardBeach,SoutheastQueens,SouthernSI,SouthwestQueens,St.George-And-Stapleton-And-,Stapleton-St.George,Statenisl-And-,StuyvesantTown-And-TurtleBay,SunsetPark,ThrogsNeck-And-Co-opCity,Tottenville-And-GreatKills-And-,UnionSquare-LowerEastSide,UnionSquare-LowerManhattan,UpperEastSide,UpperEastSide,UpperEastSide-Gramercy,UpperWestSide,UpperWestSide,WashingtonHeights,WashingtonHeights-And-Inwood-And-,WestQueens,Williamsbridge-And-Baychester,Williamsburg-Bushwick,Willowbrook,Woodside-And-Sunnyside
Nitrogen Dioxide (NO2),Mean,ppb,2009,W2009,28.35,25.34,26.5,65.08,31.67,54.5,59.36,29.29,29.43,31.46,31.68,70.56,44.2,42.67,40.88,49.62,32.51,67.22,30.61,68.58,60.04,32.15,41.26,29.5,25.9,55.3,27.66,59.38,34.05,34.5,28.26,47.43,64.96,32.58,39.62,39.68,33.61,33.96,27.99,30.82,30.52,30.68,56.7,28.46,30.2,56.42,31.46,62.78,36.88,41.31,38.35,50.56,35.2,28.25,32.04,32.41,27.92,55.26,24.38,32.86,29.14,55.22,26.45,27.86,25.95,30.63,59.76,29.91,28.22,20.89,42.06,25.38,19.31,21.43,32.11,32.39,28.57,51.76,20.47,58.44,25.69,23.27,21.63,44.31,60.34,26.29,19.28,37.72,38.85,38.68,38.83,42.78,72.76,36.35,65.82,32.4,62.22,27.32,65.58,22.46,31.32
Nitrogen Dioxide (NO2),Mean,ppb,2010,W2010,26.97,22.8,23.79,57.72,26.34,53.08,56.18,24.39,27.17,28.14,27.78,58.62,37.4,36.13,34.44,50.64,27.02,58.64,28.08,58.12,53.68,28.7,35.11,27.74,24.73,49.69,24.83,47.74,27.96,29.83,25.28,40.59,56.14,28.2,33.62,33.64,28.03,28.16,24.96,26.48,26.32,27.31,50.7,25.48,26.85,42.76,25.37,54.54,31.44,35.16,32.17,43.08,28.96,23.69,26.91,27.54,24.77,45.32,22.15,28.81,25.18,47.7,22.81,25.02,23.48,27.19,52.7,26.31,21.42,20.98,42.16,25.71,16.92,19.26,27.07,29.02,25.64,46.78,17.87,52.25,22.87,21.8,19.14,37.91,55,22.79,16.69,32.14,33.09,32.97,33.1,36.54,60.46,30.21,52.74,25.79,55.12,22.01,57.26,19.5,27.33
Nitrogen Dioxide (NO2),Mean,ppb,2011,W2011,29.44,26.19,27.47,64.42,30.22,56.88,60.2,28.19,29.66,31.37,31.75,66.32,39.66,38.71,37.32,51.4,30.97,66,30.64,65.84,60.52,33.08,37.93,29.67,26.23,57.96,29.01,55.06,31.9,33.53,29.4,42.24,64.46,32.33,36.82,36.79,32.09,32.21,28.88,30.73,30.57,31.75,56.88,28.4,30.74,50.96,29.1,62.96,34.91,37.94,35.38,44.18,32.89,27.27,30.92,31.73,28.07,51.98,26.05,32.5,29.16,55.26,27.72,28.32,25.68,31.5,61.38,30.7,25.49,20.26,40.76,26.08,20.56,23.17,31.18,32.07,28.73,51.32,21.82,59.06,27.18,25.16,23.08,40.07,61.2,26.39,20.41,35.45,36.23,35.88,36,38.87,67.3,33.62,61.08,29.98,63.98,25.4,65.16,23.98,31.64
Nitrogen Dioxide (NO2),Mean,ppb,2012,W2012,22.8,20.42,21.5,52.08,25.3,43.66,47,23.48,23.5,25.2,25.76,56.18,34.33,33.42,32.42,38.92,25.96,54.18,24.35,55.52,48.48,26.72,32.12,23.16,20.27,45.53,22.78,46.64,27.05,27.75,23.12,36.31,53.88,26.94,31.61,31.62,26.85,27.06,22.7,25.17,24.95,25.55,45.56,22.86,24.63,43.7,24.77,52.36,29.61,32.03,30.21,38.04,27.99,22.67,25.6,26.34,22.54,44.3,20.15,26.49,23.67,44.88,22.3,22.62,20.6,25.06,48.98,24.67,21.84,15.76,31.78,19.89,15.98,17.7,25.88,25.73,23.04,41.06,17,47.34,21.41,19,17.93,34.38,48.24,21.43,15.98,30.14,30.73,30.52,30.63,33.23,57.8,28.89,51.84,25.45,51.88,21.72,53.36,18.73,26.18
Nitrogen Dioxide (NO2),Mean,ppb,2013,W2013,24.96,19.33,20.62,54.22,26.22,48.52,51.34,24.03,25.3,26.37,26.43,59.76,35.62,34.64,33.8,45.08,27.06,56.32,26.06,58.54,50.6,26.7,33.12,25.29,22.68,44.12,22.11,48.26,28.41,28.67,22.57,37.34,55.32,27.64,32.69,32.72,28.3,28.58,22.24,26.07,25.71,25.64,45.9,23.12,25.01,46.24,25.78,53.96,30.54,33.01,31.61,39.15,29.89,22.89,26.69,27.63,23.47,44.48,21.87,27.68,23.96,44.76,23.64,22.84,20.59,25,49.44,25.04,23.09,18.77,37.76,22.96,16.82,19.14,26.99,27.05,24.08,40.92,17.97,48.9,22.98,20.93,19.13,35.39,51.68,21.02,16.7,31.08,31.68,31.8,31.91,34.4,61.3,30.62,55.36,27.17,52.3,21.97,54.7,19.93,26.77
Nitrogen Dioxide (NO2),Mean,ppb,2014,W2014,27.2,25.08,25.9,58.82,27.31,53.72,56.24,25.87,27.78,28.81,28.97,59.74,36.89,35.91,34.78,51.8,27.83,59.78,28.44,60.4,55.76,30.41,34.54,27.8,25.43,53.9,26.93,49.94,28.44,30.49,27.13,39.35,59.8,29.92,33.98,34.03,28.68,28.71,26.71,27.93,27.8,29.26,53.78,27,28.18,44.84,26.19,58.78,32.23,34.47,32.41,40.99,29.49,25.4,27.77,28.73,26.31,49.2,23.54,29.3,26.81,51.64,24.53,26.84,25.41,28.68,55.88,28.03,22.45,22.58,45.36,26.24,20.59,21.46,28.11,29.27,26.92,50.68,21.06,54.84,24.27,23.01,21.79,37.37,55.36,25.08,20.56,32.79,33.32,33.42,33.53,36.2,61.98,31,53.72,26.28,59.02,23.85,59.58,21.86,29.49
Nitrogen Dioxide (NO2),Mean,ppb,2015,W2015,25.17,22.34,23,52.78,25.18,49.8,51.6,23.92,25.26,25.85,25.82,53.48,32.14,31.49,30.68,47.92,25.56,54.06,25.82,53.92,49.98,26.92,30.4,25.35,23.19,48.01,23.97,46.66,26.18,27.38,23.98,33.9,53.64,26.81,30.19,30.18,26,26.09,23.58,25.21,25.17,25.94,47.88,24.09,25.06,42.38,24.41,52.44,28.66,30.29,28.69,35.01,26.47,23.64,25.23,25.9,23.7404,46.74,21.77,26.63,24.41,47.4,22.69,23.93,22.77,25.25,49.4,24.87,21.2,20.58,41.34,24.25,18.29,19.58,25.54,26.38,24.13,45.34,18.89,49,22.47,21.27,19.75,32.43,50.74,23.17,18.2,29.06,29.44,29.21,29.3,31.41,54.84,27.42,49.16,24.14,52.42,22.72,53.18,19.93,26.28
Nitrogen Dioxide (NO2),Mean,ppb,2016,W2016,23.15,20.9,21.62,49.66,23.64,45.36,47.46,22.28,23.38,24.18,24.46,51.46,30.85,30.24,29.55,42.58,24.13,51.44,23.94,51.9,46.68,25.68,29.1,23.27,20.94,45.32,22.63,43.08,24.77,26.13,22.71,32.41,51.42,25.68,29.03,29.02,24.83,24.9,22.27,24.04,23.94,24.76,44.9,22.56,23.62,39.08,22.7,50.34,27.5,28.96,27.51,33.44,25.49,21.79,23.92,24.83,22.12,42.5,20.02,25.29,22.92,44.04,21.29,22.45,21.13,23.94,46.78,23.59,19.54,17.89,36,21.6,16.6,17.81,24.29,24.73,22.46,42.1,17.25,45.82,20.87,19.35,18.07,31.05,47.38,21.35,16.56,27.88,28.22,28.02,28.1,30.08,52.84,26.43,46.8,22.91,50.04,20.61,50.56,18.34,25.18
Nitrogen Dioxide (NO2),Mean,ppb,2017,W2017,23.91,23.82,24.26,52.34,27.51,47.56,50.08,26.37,24.74,25.7,25.93,57.02,32.93,31.99,31.19,46.5,27.7,52.54,25.34,56.12,49.72,27.56,30.37,24.72,22.83,51.03,25.43,52.66,28.39,26.73,24.91,34.66,53.48,26.77,30.12,30.22,27.97,28.05,24.51,26.96,27,26.95,49.62,24.97,25.48,48.54,27.28,53.86,28.44,30.24,29.74,36.31,28.23,26.47,27.46,27.5,24.12,52.78,20.47,25.83,26.45,51.82,21.5,24.83,24.09,25.77,50.12,25.1,24.31,20.94,42.12,23.61,17.51,18.41,27.47,26.02,24.45,48.04,17.98,49.72,21.17,19.92,18.72,32.89,48.66,25.37,17.47,28.98,29.38,30.22,30.3,32.3,57.28,28.62,53.7,26.51,53.54,25.89,53.28,18.77,26.54
Nitrogen Dioxide (NO2),Mean,ppb,2018,W2018,23.61,21.85,22.83,52.32,25.16,45.34,48.4,23.57,24.01,25.7,26.46,55.04,31.91,31.14,30.19,39.46,25.81,54.38,24.65,53.5,49.08,27.07,30.19,23.47,20.45,48.84,24.45,45.64,26.49,27.06,24.31,33.05,56.22,28.41,29.62,29.57,27.05,27.07,23.97,26.75,27.01,26.1,47.66,23.87,25.27,42.62,24.09,54.28,27.68,30.06,28.62,35.17,27.31,22.76,26.12,27.52,23.06,42.58,20.95,27.29,24.24,45.82,22.6,23.47,21.61,25.6,50.42,25.7,21.31,14.31,28.82,19.88,17.21,18.74,26.55,25.75,23.13,43.22,18.06,47.98,21.9,20.07,18.92,31.25,51.52,21.6,17.21,28.12,28.73,28.57,28.64,30.67,54.62,27.27,51.28,25.23,53.68,20.92,55.4,19.5,27.56
